水素,すいそ,H,
ヘリウム,へりうむ,He,
リチウム,りちうむ,Li,
ベリリウム,べりりうむ,Be,
ホウ素,ほうそ,B,
炭素,たんそ,C,
窒素,ちっそ,N,
酸素,さんそ,O,
フッ素,ふっそ,F,
ネオン,ねおん,Ne,
ナトリウム,なとりうむ,Na,
マグネシウム,まぐねしうむ,Mg,
アルミニウム,あるみにうむ,Al,
ケイ素,けいそ,Si,
リン,りん,P,
硫黄,いおう,S,
塩素,えんそ,Cl,
アルゴン,あるごん,Ar,
カリウム,かりうむ,K,
カルシウム,かるしうむ,Ca,
スカンジウム,すかんじうむ,Sc,
チタン,ちたん,Ti,
バナジウム,ばなじうむ,V,
クロム,くろむ,Cr,
マンガン,まんがん,Mn,
鉄,てつ,Fe,
コバルト,こばると,Co,
ニッケル,にっける,Ni,
銅,どう,Cu,
亜鉛,あえん,Zn,
ガリウム,がりうむ,Ga,
ゲルマニウム,げるまにうむ,Ge,
ヒ素,ひそ,As,
セレン,せれん,Se,
臭素,しゅうそ,Br,
クリプトン,くりぷとん,Kr,
ルビジウム,るびじうむ,Rb,
ストロンチウム,すとろんちうむ,Sr,
イットリウム,いっとりうむ,Y,
ジルコニウム,じるこにうむ,Zr,
ニオブ,におぶ,Nb,
モリブデン,もりぶでん,Mo,
テクネチウム,てくねちうむ,Tc,
ルテニウム,るてにうむ,Ru,
ロジウム,ろじうむ,Rh,
パラジウム,ぱらじうむ,Pd,
銀,ぎん,Ag,
カドミウム,かどみうむ,Cd,
インジウム,いんじうむ,In,
スズ,すず,Sn,
アンチモン,あんちもん,Sb,
テルル,てるる,Te,
ヨウ素,ようそ,I,
キセノン,きせのん,Xe,
セシウム,せしうむ,Cs,
バリウム,ばりうむ,Ba,
ランタン,らんたん,La,
セリウム,せりうむ,Ce,
プラセオジム,ぷらせおじむ,Pr,
ネオジム,ねおじむ,Nd,
プロメチウム,ぷろめちうむ,Pm,
サマリウム,さまりうむ,Sm,
ユウロピウム,ゆうろぴうむ,Eu,
カドリニウム,かどりにうむ,Gd,
テルビウム,てるびうむ,Tb,
ジスプロニウム,じすぷろにうむ,Dy,
ホルミウム,ほるにうむ,Ho,
エルビウム,えるびうむ,Er,
ツリウム,つりうむ,Tm,
イッテルビウム,いってるびうむ,Yb,
ルテチウム,るてちうむ,Lu,
ハフニウム,はふにうむ,Hf,
タンタル,たんたる,Ta,
タングステン,たんぐすてん,W,
レニウム,れにうむ,Re,
オスミウム,おすみうむ,Os,
イリジウム,いりじうむ,Ir,
白金,はっきん,Pt,
金,きん,Au,
水銀,すいぎん,Hg,
タリウム,たりうむ,Tl,
鉛,なまり,Pb,
ビスマス,びすます,Bi,
ポロニウム,ぽろにうむ,Po,
アスタチン,あすたちん,At,
ラドン,らどん,Rn,
フランシウム,ふらんしうむ,Fr,
ラジウム,らじうむ,Ra,
アクチニウム,あくちにうむ,Ac,
トリウム,とりうむ,Th,
プロトアクチニウム,ぷろとあくちにうむ,Pa,
ウラン,うらん,U,
ネプツニウム,ねぷつにうむ,Np,
プルトニウム,ぷるとにうむ,Pu,
アメリシウム,あめりしうむ,Am,
キュリウム,きゅりうむ,Cm,
バークリウム,ばーくりうむ,Bk,
カリホルニウム,かりほるにうむ,Cf,
アインスタイニウム,あいんすたいにうむ,Es,
フェルミウム,ふぇるにうむ,Fm,
メンデレビウム,めんでれびうむ,Md,
ノーベリウム,のーべりうむ,No,
ローレンシウム,ろーれんしうむ,Lr,
ラザホージウム,らざほーじうむ,Rf,
ドブニウム,どぶにうむ,Db,
シーボーギウム,しーぼーぎうむ,Sq,
ボーリウム,ぼーりうむ,Bh,
ハッシウム,はっしうむ,Hs,
マイトネリウム,まいとねりうむ,Mt,
ダームスタチウム,だーすたちうむ,Ds,
レントゲニウム,れんとげにうむ,Rg,
コペルニシウム,こぺるにしうむ,Cn,
ニホニウム,にほにうむ,Nh,
フレロビウム,ふれろびうむ,Fl,
モスコビウム,もすこびうむ,Mc,
リバモリウム,りばもりうむ,Lv,
テネシン,てねしん,Ts,
オガネソン,おがねそん,Og,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
